German,English
wie,as
ich,I
seine,his
dass,that
er,he
war,was
für,for
auf,on
sind,are
mit,with
sie,they
sein,be
bei,at
ein,one
haben,have
aus,from
durch,by
Wort,word
aber,but
was,what
einige,some
ist,is
es,it
oder,or
hatte,had
die,the
von,of
und,and
ein,a
wir,we
können,can
aus,out
andere,other
waren,were
die,which
tun,do
ihre,their
Zeit,time
wenn,if
werden,will
wie,how
sagte,said
jeder,each
sagen,tell
tut,does
Satz,set
wollen,want
Luft,air
gut,well
auch,also
klein,small
Ende,end
setzen,put
Zuhause,home
lesen,read
seits,hand
Hafen,port
groß,large
buchstabieren,spell
hinzufügen,add
auch,even
Lande,land
hier,here
muss,must
groß,big
hoch,high
so,such
folgen,follow
Akt,act
warum,why
fragen,ask
Männer,men
Veränderung,change
ging,went
Licht,light
Art,kind
aus,off
müssen,need
Bild,picture
versuchen,try
uns,us
wieder,again
Tier,animal
Punkt,point
Mutter,mother
Welt,world
in der Nähe von,near
bauen,build
selbst,self
Erde,earth
Vater,father
